aten_id,aten_id2,evalue,saccver,method,kegg,has_signal,pfam,Entry,Status,Protein names,Gene names,Organism,Length,Organism ID,EC number,Gene ontology IDs,Cross-reference (KEGG),Cross-reference (GeneID),Ensembl transcript,Cross-reference (eggNOG),Cross-reference (KO),Cross-reference (OrthoDB),Cross-reference (BioCyc),Cross-reference (BRENDA),Cross-reference (Reactome),ipr_go
aten_0.1.m1.15999.m1,aten_0.1.m1.15999,1.17E-143,ILVD2_STAS1,blastp,K01687,NA,PF00920.20,Q49UX2,reviewed,Dihydroxy-acid dehydratase 2 (DAD 2) (EC 4.2.1.9),ilvD2 SSP2293,Staphylococcus saprophyticus subsp. saprophyticus (strain ATCC 15305 / DSM 20229),564,342451,4.2.1.9,GO:0004160; GO:0009097; GO:0009099; GO:0046872; GO:0051539,ssp:SSP2293;,3615681;,NA,ENOG4105C01;COG0129;,K01687;,193579at2;,SSAP342451:G1G2H-2316-MONOMER;,NA,NA,GO:0003824
aten_0.1.m1.5599.m1,aten_0.1.m1.5599,0,RAD54_MOUSE,blastp,K10875,NA,PF00176.22;PF00271.30;PF04851.14;PF11496.7;PF00270.28;PF08658.9;PF13717.5,P70270,reviewed,DNA repair and recombination protein RAD54-like (EC 3.6.4.-) (RAD54 homolog) (mHR54) (mRAD54),Rad54l Rad54,Mus musculus (Mouse),747,10090,3.6.4.-,GO:0000724; GO:0003677; GO:0004386; GO:0005524; GO:0005654; GO:0006302; GO:0006974; GO:0008340; GO:0010212; GO:0032991; GO:0036310; GO:0042493; GO:0051276,mmu:19366;,19366;,ENSMUST00000102704;ENSMUST00000102705;,KOG0390;COG0553;,K10875;,93727at2759;,NA,NA,NA,GO:0005524
aten_0.1.m1.5535.m1,aten_0.1.m1.5535,0,AP1M1_HUMAN,blastp,K12393,NA,PF00928.20;PF01217.19;PF13774.5,Q9BXS5,reviewed,AP-1 complex subunit mu-1 (AP-mu chain family member mu1A) (Adaptor protein complex AP-1 subunit mu-1) (Adaptor-related protein complex 1 subunit mu-1) (Clathrin assembly protein complex 1 mu-1 medium chain 1) (Clathrin coat assembly protein AP47) (Clathrin coat-associated protein AP47) (Golgi adaptor HA1/AP1 adaptin mu-1 subunit) (Mu-adaptin 1) (Mu1A-adaptin),AP1M1 CLTNM,Homo sapiens (Human),423,9606,NA,GO:0000139; GO:0005765; GO:0005829; GO:0005886; GO:0006886; GO:0016020; GO:0019886; GO:0030131; GO:0030659; GO:0030665; GO:0032438; GO:0032588; GO:0035579; GO:0035646; GO:0043312; GO:0050690; GO:0070062,hsa:8907;,8907;,ENST00000291439 [Q9BXS5-1];ENST00000444449 [Q9BXS5-2];,KOG0937;ENOG410XPFS;,K12393;,725236at2759;,NA,NA,R-HSA-164940;R-HSA-2132295;R-HSA-432720;R-HSA-432722;R-HSA-6798695;,GO:0006886;GO:0016192;GO:0030131
aten_0.1.m1.1320.m1,aten_0.1.m1.1320,1.27E-25,DR9C7_BOVIN,blastp,NA,NA,PF00106.24;PF13561.5,A4IFM3,reviewed,Short-chain dehydrogenase/reductase family 9C member 7 (EC 1.1.1.-) (Orphan short-chain dehydrogenase/reductase) (SDR-O),SDR9C7 RDHS SDRO,Bos taurus (Bovine),313,9913,1.1.1.-,GO:0004745; GO:0005730; GO:0005829,bta:538876;,538876;,ENSBTAT00000017885;,KOG1610;ENOG410Y7FK;,NA,942985at2759;,NA,NA,R-BTA-2453902;,GO:0016491
aten_0.1.m1.7200.m1,aten_0.1.m1.7200,8.61E-16,TM163_RAT,blastp,NA,NA,PF15420.5;PF07264.10,A9CMA6,reviewed,Transmembrane protein 163 (Synaptic vesicle membrane protein of 31 kDa),Tmem163 Sv31,Rattus norvegicus (Rat),288,10116,NA,GO:0008270; GO:0030054; GO:0030285; GO:0031901; GO:0099180,rno:360839;,360839;,ENSRNOT00000005006;,ENOG410IE9N;ENOG410Z7QG;,NA,1547703at2759;,NA,NA,NA,
aten_0.1.m1.12524.m1,aten_0.1.m1.12524,4.24E-42,TEAD1_MOUSE,blastp,K09448,NA,PF01285.17,P30051,reviewed,Transcriptional enhancer factor TEF-1 (NTEF-1) (Protein GT-IIC) (TEA domain family member 1) (TEAD-1) (Transcription factor 13) (TCF-13),Tead1 Tcf13 Tef-1 Tef1,Mus musculus (Mouse),426,10090,NA,GO:0000981; GO:0000987; GO:0001085; GO:0001134; GO:0001223; GO:0003143; GO:0003677; GO:0003700; GO:0005634; GO:0005654; GO:0005667; GO:0006355; GO:0007507; GO:0010468; GO:0014883; GO:0030903; GO:0035329; GO:0042127; GO:0043565; GO:0044212; GO:0045893; GO:0045944; GO:0046982; GO:0048339; GO:0048368; GO:0065003; GO:0071148; GO:0071300; GO:0071902; GO:1902459; GO:1902895,mmu:21676;,21676;,NA,NA,K09448;,823827at2759;,NA,NA,R-MMU-2032785;R-MMU-8951671;,GO:0003700;GO:0006355
aten_0.1.m1.20601.m1,aten_0.1.m1.20601,1.20E-56,ROBO2_HUMAN,blastp,NA,NA,PF13927.5;PF07679.15;PF00047.24;PF13895.5;PF07686.16;PF00041.20;PF08205.11;PF02440.14;PF01391.17;PF16706.4;PF09294.9;PF14292.5;PF16389.4;PF10179.8;PF16656.4;PF10265.8;PF15102.5;PF07423.10,Q9HCK4,reviewed,Roundabout homolog 2,ROBO2 KIAA1568,Homo sapiens (Human),1378,9606,NA,GO:0001656; GO:0001657; GO:0003148; GO:0003180; GO:0003184; GO:0003272; GO:0005886; GO:0007156; GO:0007411; GO:0007417; GO:0007420; GO:0008046; GO:0009986; GO:0016021; GO:0016199; GO:0021510; GO:0021891; GO:0030673; GO:0031290; GO:0032870; GO:0035385; GO:0035481; GO:0035904; GO:0042802; GO:0050772; GO:0050925; GO:0051964; GO:0060412; GO:0061364; GO:0070062,hsa:6092;,6092;,ENST00000461745 [Q9HCK4-1];ENST00000487694 [Q9HCK4-3];,KOG4222;ENOG410XPQS;,K06754;,45439at2759;,NA,NA,R-HSA-376176;R-HSA-428542;R-HSA-8985801;R-HSA-9010553;R-HSA-9010642;,GO:0005515
aten_0.1.m1.11270.m1,aten_0.1.m1.11270,1.41E-132,HS2ST_PONAB,blastp,K02513,NA,PF03567.13;PF00685.26;PF13967.5,Q5R621,reviewed,Heparan sulfate 2-O-sulfotransferase 1 (2-O-sulfotransferase) (2OST) (EC 2.8.2.-),HS2ST1 HS2ST,Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii),356,9601,2.8.2.-,GO:0000139; GO:0008146; GO:0016021,pon:100173485;,100173485;,NA,KOG3922;ENOG410XTA1;,K02513;,877221at2759;,NA,NA,NA,GO:0008146;GO:0016021
aten_0.1.m1.15710.m1,aten_0.1.m1.15710,2.65E-30,Y1931_DICDI,blastp,NA,YES,PF13855.5;PF12799.6;PF00560.32;PF08263.11;PF13516.5,Q54T82,reviewed,Putative leucine-rich repeat-containing protein DDB_G0281931,DDB_G0281931,Dictyostelium discoideum (Slime mold),1211,44689,NA,GO:0005886; GO:0016021,ddi:DDB_G0281931;,8623322;,NA,ENOG410IZQZ;COG4886;,NA,NA,NA,NA,NA,GO:0005515
aten_0.1.m1.12174.m1,aten_0.1.m1.12174,3.47E-179,CHIN_HUMAN,blastp,K20630,NA,PF00620.26;PF00130.21;PF00017.23;PF02318.15;PF08746.10;PF03107.15,P15882,reviewed,N-chimaerin (A-chimaerin) (Alpha-chimerin) (N-chimerin) (NC) (Rho GTPase-activating protein 2),CHN1 ARHGAP2 CHN,Homo sapiens (Human),459,9606,NA,GO:0005070; GO:0005096; GO:0005829; GO:0008045; GO:0035556; GO:0046872; GO:0046875; GO:0048013; GO:0050770; GO:0051056,hsa:1123;,1123;,ENST00000295497 [P15882-2];ENST00000409156 [P15882-3];ENST00000409900 [P15882-1];,KOG1453;ENOG410YM3I;,K20630;,1300981at2759;,NA,NA,R-HSA-194840;,GO:0035556;GO:0007165
aten_0.1.m1.27549.m1,aten_0.1.m1.27549,5.67E-06,THAP2_HUMAN,blastp,NA,NA,PF05485.11;PF13324.5;PF02150.15,Q9H0W7,reviewed,THAP domain-containing protein 2,THAP2,Homo sapiens (Human),228,9606,NA,GO:0000981; GO:0003677; GO:0005730; GO:0046872,hsa:83591;,83591;,ENST00000308086;,ENOG410IKCR;ENOG41122AW;,K23204;,1382095at2759;,NA,NA,NA,GO:0003676
aten_0.1.m1.37487.m1,aten_0.1.m1.37487,2.05E-27,FA5_BOVIN,blastp,NA,YES,PF00754.24;PF00024.25;PF14295.5,Q28107,reviewed,Coagulation factor V (Activated protein C cofactor) [Cleaved into: Coagulation factor V heavy chain; Coagulation factor V light chain],F5,Bos taurus (Bovine),2211,9913,NA,GO:0005507; GO:0005576; GO:0007596,bta:280687;,280687;,NA,NA,K03902;,454773at2759;,NA,NA,NA,
aten_0.1.m1.31647.m1,aten_0.1.m1.31647,7.67E-13,PGBD4_HUMAN,blastp,NA,NA,PF13843.5;PF07842.11,Q96DM1,reviewed,PiggyBac transposable element-derived protein 4,PGBD4,Homo sapiens (Human),585,9606,NA,NA,hsa:161779;,161779;,ENST00000397766;,ENOG410IEX6;ENOG410XVJ3;,NA,1139412at2759;,NA,NA,NA,
aten_0.1.m1.31255.m1,aten_0.1.m1.31255,3.15E-73,GGH_BOVIN,blastp,NA,NA,PF07722.12,A7YWG4,reviewed,Gamma-glutamyl hydrolase (EC 3.4.19.9) (Conjugase) (GH) (Gamma-Glu-X carboxypeptidase),GGH,Bos taurus (Bovine),318,9913,3.4.19.9,GO:0005615; GO:0005764; GO:0005773; GO:0034722; GO:0042470; GO:0046900,bta:525303;,525303;,ENSBTAT00000009917;,KOG1559;ENOG410XQKI;,K01307;,877490at2759;,NA,NA,R-BTA-6798695;,GO:0016787;GO:0008242
aten_0.1.m1.17403.m1,aten_0.1.m1.17403,8.49E-19,RECQ_SALTY,blastp,NA,NA,PF16124.4,P40724,reviewed,ATP-dependent DNA helicase RecQ (EC 3.6.4.12),recQ STM3958 STMD1.32,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),609,99287,3.6.4.12,GO:0003677; GO:0005524; GO:0005694; GO:0005737; GO:0006260; GO:0006281; GO:0006310; GO:0008270; GO:0009378; GO:0009432; GO:0017116; GO:0017117; GO:0030894; GO:0032508; GO:0043140; GO:0043590,stm:STM3958;,1255484;,NA,ENOG4105C9U;COG0514;,K03654;,NA,NA,NA,NA,
aten_0.1.m1.36747.m1,aten_0.1.m1.36747,1.64E-23,MOT2_MESAU,blastp,NA,NA,PF07690.15;PF06779.13;PF12832.6;PF13347.5;PF03209.14;PF13967.5;PF00083.23;PF13567.5,P53988,reviewed,Monocarboxylate transporter 2 (MCT 2) (Solute carrier family 16 member 7),SLC16A7 MCT2,Mesocricetus auratus (Golden hamster),484,10036,NA,GO:0005887; GO:0015129; GO:0015293; GO:0035873; GO:0050833; GO:1901475,NA,101835011;,NA,NA,NA,916876at2759;,NA,NA,NA,GO:0005887;GO:0055085
aten_0.1.m1.33739.m1,aten_0.1.m1.33739,9.01E-23,EDIL3_MOUSE,blastp,NA,NA,PF00754.24,O35474,reviewed,EGF-like repeat and discoidin I-like domain-containing protein 3 (Developmentally-regulated endothelial cell locus 1 protein) (Integrin-binding protein DEL1),Edil3 Del1,Mus musculus (Mouse),480,10090,NA,GO:0005178; GO:0005509; GO:0005576; GO:0007155; GO:0007275; GO:0010811,mmu:13612;,13612;,ENSMUST00000081769 [O35474-1];,ENOG410IFBC;ENOG41114BV;,NA,441415at2759;,NA,NA,NA,
aten_0.1.m1.34237.m1,aten_0.1.m1.34237,0,WDR36_HUMAN,blastp,K14554,NA,PF04192.11;PF00400.31;PF12894.6;PF16529.4,Q8NI36,reviewed,WD repeat-containing protein 36 (T-cell activation WD repeat-containing protein) (TA-WDRP),WDR36,Homo sapiens (Human),951,9606,NA,GO:0001895; GO:0003723; GO:0005654; GO:0005730; GO:0006364; GO:0007601; GO:0030516; GO:0032040; GO:0034388; GO:0050896,hsa:134430;,134430;,ENST00000506538;ENST00000612402;,KOG1539;ENOG410XPJH;,K14554;,388820at2759;,NA,NA,R-HSA-6790901;R-HSA-6791226;,GO:0005515;GO:0006364;GO:0032040
aten_0.1.m1.7261.m1,aten_0.1.m1.7261,9.19E-22,AB17G_ARATH,blastp,NA,NA,PF00005.26;PF01061.23;PF13304.5;PF13555.5;PF13476.5;PF01926.22;PF13175.5;PF13481.5;PF03193.15;PF00350.22;PF05729.11;PF13191.5,Q9M2V6,reviewed,ABC transporter G family member 17 (ABC transporter ABCG.17) (AtABCG17) (Probable white-brown complex homolog protein 17) (AtWBC17),ABCG17 WBC17 At3g55100 T15C9.100,Arabidopsis thaliana (Mouse-ear cress),662,3702,NA,GO:0005524; GO:0005886; GO:0016021; GO:0042626; GO:0055085,ath:AT3G55100;,824676;,NA,KOG0061;COG1131;,NA,1022017at2759;,NA,NA,NA,GO:0005524;GO:0016887
aten_0.1.m1.9761.m1,aten_0.1.m1.9761,5.11E-12,LECH_CHICK,blastp,NA,YES,PF00059.20;PF05473.11,P02707,reviewed,Hepatic lectin,NA,Gallus gallus (Chicken),207,9031,NA,GO:0006897; GO:0016021; GO:0030246,gga:396477;,396477;,ENSGALT00000070030;,NA,NA,1118305at2759;,NA,NA,NA,
aten_0.1.m1.6760.m1,aten_0.1.m1.6760,0,DYHC2_TRIGR,blastp,K10414,NA,PF03028.14;PF08393.12;PF12774.6;PF12781.6;PF08385.11;PF12780.6;PF07728.13;PF12777.6;PF12775.6;PF03193.15;PF13479.5;PF13191.5;PF13401.5;PF13238.5;PF00004.28;PF13555.5;PF10167.8;PF13304.5;PF05049.12;PF13604.5;PF00005.26;PF13476.5,Q27802,reviewed,Cytoplasmic dynein 2 heavy chain 1 (Dynein heavy chain isotype 1B),DYH1B,Tripneustes gratilla (Hawaian sea urchin) (Echinus gratilla),4318,7673,NA,GO:0003777; GO:0005524; GO:0005737; GO:0005874; GO:0005886; GO:0005929; GO:0007018; GO:0007275; GO:0030030; GO:0030286,NA,NA,NA,NA,NA,NA,NA,NA,NA,GO:0003777;GO:0007018;GO:0030286;GO:0005524
aten_0.1.m1.25870.m1,aten_0.1.m1.25870,2.38E-30,PRPF3_CHICK,blastp,NA,NA,PF01480.16;PF04402.13;PF07261.10,Q5ZJ85,reviewed,U4/U6 small nuclear ribonucleoprotein Prp3 (Pre-mRNA-splicing factor 3),PRPF3 RCJMB04_20b24,Gallus gallus (Chicken),684,9031,NA,GO:0000244; GO:0000398; GO:0005634; GO:0005681; GO:0016607; GO:0046540,gga:426667;,426667;,NA,NA,K12843;,1322299at2759;,NA,NA,NA,GO:0006397
aten_0.1.m1.3665.m1,aten_0.1.m1.3665,0,ELMO1_HUMAN,blastp,K12366,NA,PF11841.7;PF04727.12;PF16457.4;PF16782.4;PF12717.6;PF07814.12;PF02316.15,Q92556,reviewed,Engulfment and cell motility protein 1 (Protein ced-12 homolog),ELMO1 KIAA0281,Homo sapiens (Human),727,9606,NA,GO:0005737; GO:0005829; GO:0005886; GO:0006911; GO:0006915; GO:0016020; GO:0016477; GO:0016601; GO:0017124; GO:0030036; GO:0032045; GO:0038096; GO:0048010; GO:0048870; GO:0050690,hsa:9844;,9844;,ENST00000310758 [Q92556-1];ENST00000396040 [Q92556-2];ENST00000396045 [Q92556-2];ENST00000442504 [Q92556-1];ENST00000448602 [Q92556-1];,KOG2999;ENOG410XPKN;,K12366;,234725at2759;,NA,NA,R-HSA-164944;R-HSA-2029482;R-HSA-4420097;R-HSA-8849471;,GO:0016477
aten_0.1.m1.2480.m1,aten_0.1.m1.2480,5.10E-13,USPAL_ARATH,blastp,NA,NA,PF00582.25;PF00781.23;PF07745.12,Q8LGG8,reviewed,Universal stress protein A-like protein,At3g01520 F4P13.7,Arabidopsis thaliana (Mouse-ear cress),175,3702,NA,GO:0005886; GO:0016208,ath:AT3G01520;,821122;,NA,ENOG410JS55;ENOG41119AN;,NA,1160716at2759;,NA,NA,NA,
aten_0.1.m1.3437.m1,aten_0.1.m1.3437,3.19E-23,RH22_ORYSJ,blastp,NA,NA,PF00270.28;PF00271.30;PF04851.14;PF16203.4;PF13401.5,Q6H601,reviewed,DEAD-box ATP-dependent RNA helicase 22 (EC 3.6.4.13),Os09g0383400 LOC_Os09g21520 P0505H05.40,Oryza sativa subsp. japonica (Rice),577,39947,3.6.4.13,GO:0003723; GO:0004386; GO:0005524,osa:4346941;,4346941;,NA,KOG0333;ENOG410XNVG;,NA,1223767at2759;,NA,NA,NA,GO:0003676;GO:0005524
aten_0.1.m1.16185.m1,aten_0.1.m1.16185,8.96E-63,IF4E3_HUMAN,blastp,NA,NA,PF01652.17,Q8N5X7,reviewed,Eukaryotic translation initiation factor 4E type 3 (eIF-4E type 3) (eIF-4E3) (eIF4E type 3) (eIF4E-3),EIF4E3,Homo sapiens (Human),224,9606,NA,GO:0000340; GO:0003743; GO:0005829; GO:0005845; GO:0016281,hsa:317649;,317649;,ENST00000295612 [Q8N5X7-2];ENST00000389826 [Q8N5X7-2];ENST00000421769 [Q8N5X7-2];ENST00000425534 [Q8N5X7-1];ENST00000448225 [Q8N5X7-2];,ENOG410IHHQ;COG5053;,NA,1394271at2759;,NA,NA,R-HSA-1169408;,GO:0003723;GO:0003743;GO:0006413
aten_0.1.m1.16326.m1,aten_0.1.m1.16326,1.98E-07,YUGO_BACSU,blastp,K02030,YES,PF07885.15;PF00520.30;PF00060.25;PF14358.5,Q795M8,reviewed,Putative potassium channel protein YugO,yugO BSU31322 BSU31320,Bacillus subtilis (strain 168),328,224308,NA,GO:0005249; GO:0008076,bsu:BSU31322;,938842;,NA,ENOG4107PBV;COG1226;,K10716;,NA,BSUB:BSU31322-MONOMER;,NA,NA,GO:0005249;GO:0006813;GO:0008076;GO:0015276;GO:0016020
aten_0.1.m1.21700.m1,aten_0.1.m1.21700,1.40E-09,ZIC3_MOUSE,blastp,NA,NA,PF00096.25;PF13894.5;PF15909.4;PF16622.4;PF15471.5;PF13465.5,Q62521,reviewed,Zinc finger protein ZIC 3 (Zinc finger protein of the cerebellum 3),Zic3,Mus musculus (Mouse),466,10090,NA,GO:0000977; GO:0000978; GO:0000981; GO:0001228; GO:0001947; GO:0003700; GO:0005634; GO:0005654; GO:0005737; GO:0007368; GO:0007389; GO:0007417; GO:0009952; GO:0030154; GO:0030324; GO:0035469; GO:0035545; GO:0043565; GO:0045893; GO:0045944; GO:0046872; GO:0071907; GO:0071910,mmu:22773;,22773;,ENSMUST00000088627 [Q62521-1];ENSMUST00000088629 [Q62521-2];,KOG1721;COG5048;,K18487;,768287at2759;,NA,NA,NA,GO:0003676
aten_0.1.m1.10301.m1,aten_0.1.m1.10301,7.65E-47,RUXF_DROME,blastp,K11098,NA,PF01423.21;PF14438.5,Q24297,reviewed,Small nuclear ribonucleoprotein F (snRNP-F) (Membrane-associated protein Deb-B) (Sm protein F) (Sm-F) (SmF),SmF DebB CG16792,Drosophila melanogaster (Fruit fly),88,7227,NA,GO:0000387; GO:0000398; GO:0003723; GO:0005681; GO:0005685; GO:0005732; GO:0030532; GO:0071011; GO:0071013,dme:Dmel_CG16792;,36314;,NA,KOG3482;ENOG4111W47;,K11098;,1600677at2759;,NA,NA,R-DME-111367;R-DME-72163;R-DME-72165;R-DME-73856;R-DME-77588;,GO:0000387;GO:0005681;GO:0000398;GO:0005732
aten_0.1.m1.21620.m1,aten_0.1.m1.21620,5.88E-34,AKA14_RAT,blastp,K16530,NA,PF14469.5,O35817,reviewed,A-kinase anchor protein 14 (AKAP-14) (TAKAP-1.2) (Testis-specific A-kinase-anchoring protein TAKAP-80),Akap14 Takap80,Rattus norvegicus (Rat),502,10116,NA,GO:0005737; GO:0005952; GO:0007283; GO:0034237; GO:0035686; GO:0051018,rno:60332;,60332;,ENSRNOT00000009123;,ENOG410IXR2;ENOG4111RMU;,K16530;,1266963at2759;,NA,NA,NA,
aten_0.1.m1.12428.m1,aten_0.1.m1.12428,0,SPG7_RAT,blastp,K09552,NA,PF01434.17;PF00004.28;PF13401.5;PF07728.13;PF06480.14;PF06068.12;PF13191.5;PF05496.11;PF13671.5;PF07724.13;PF01695.16;PF13207.5;PF01078.20;PF02562.15,Q7TT47,reviewed,Paraplegin (EC 3.4.24.-),Spg7,Rattus norvegicus (Rat),781,10116,3.4.24.-,GO:0004222; GO:0005524; GO:0005739; GO:0005743; GO:0005745; GO:0005757; GO:0007005; GO:0008089; GO:0008270; GO:0046902; GO:1902686; GO:1904115,rno:353231;,353231;,ENSRNOT00000091712 [Q7TT47-1];,KOG0731;COG0465;,K09552;,217929at2759;,NA,NA,NA,GO:0004222;GO:0005524;GO:0006508;GO:0016020
aten_0.1.m1.4620.m1,aten_0.1.m1.4620,2.21E-35,RTN3A_XENLA,blastp,K20720,NA,PF02453.16;PF00103.19;PF07234.10,Q5J6M8,reviewed,Reticulon-3-A (RTN3.1),rtn3-a,Xenopus laevis (African clawed frog),214,8355,NA,GO:0000139; GO:0005789; GO:0016021; GO:0016192,xla:444146;,444146;,NA,NA,K20723;,1106300at2759;,NA,NA,NA,
aten_0.1.m1.30056.m1,aten_0.1.m1.30056,1.30E-63,TENR_RAT,blastp,NA,YES,PF00147.17;PF13927.5;PF07679.15;PF00047.24;PF13895.5;PF07686.16;PF02480.15;PF08205.11;PF16680.4;PF16706.4;PF11465.7;PF05790.14,Q05546,reviewed,Tenascin-R (TN-R) (Janusin) (Neural recognition molecule J1-160/180) (Restrictin),Tnr,Rattus norvegicus (Rat),1356,10116,NA,GO:0005178; GO:0007155; GO:0007162; GO:0007399; GO:0031012; GO:0050767; GO:0098686; GO:0098966,rno:25567;,25567;,NA,NA,K06252;,18592at2759;,NA,NA,R-RNO-3000178;,
aten_0.1.m1.15274.m1,aten_0.1.m1.15274,1.00E-71,MGLL_MOUSE,blastp,K01054,NA,PF12146.7;PF00561.19;PF12697.6;PF00326.20;PF01738.17;PF01764.24;PF00756.19;PF11144.7;PF07819.12;PF02129.17;PF12695.6;PF10230.8;PF00975.19;PF03403.12;PF03709.14,O35678,reviewed,Monoglyceride lipase (MGL) (EC 3.1.1.23) (Monoacylglycerol lipase) (MAGL),Mgll,Mus musculus (Mouse),303,10090,3.1.1.23,GO:0005654; GO:0005829; GO:0006633; GO:0009966; GO:0016020; GO:0016787; GO:0019369; GO:0019433; GO:0019898; GO:0030424; GO:0030516; GO:0042803; GO:0043196; GO:0045202; GO:0046464; GO:0047372; GO:0050727; GO:0051930; GO:0060292; GO:0097756; GO:2000124,mmu:23945;,23945;,ENSMUST00000089449 [O35678-1];ENSMUST00000113585 [O35678-1];ENSMUST00000150180 [O35678-2];,KOG1455;COG2267;,K01054;,919091at2759;,NA,NA,R-MMU-1482883;R-MMU-426048;,
aten_0.1.m1.37158.m1,aten_0.1.m1.37158,2.76E-11,MSHA_CELFN,blastp,NA,NA,PF00534.19;PF13692.5;PF07492.10,D5UJ42,reviewed,D-inositol 3-phosphate glycosyltransferase (EC 2.4.1.250) (N-acetylglucosamine-inositol-phosphate N-acetylglucosaminyltransferase) (GlcNAc-Ins-P N-acetylglucosaminyltransferase),mshA Cfla_0653,Cellulomonas flavigena (strain ATCC 482 / DSM 20109 / NCIB 8073 / NRS 134),443,446466,2.4.1.250,GO:0000287; GO:0008375; GO:0010125; GO:0102710,cfl:Cfla_0653;,NA,NA,ENOG4107R5M;COG0438;,K15521;,NA,CFLA446466:G1GLJ-655-MONOMER;,NA,NA,
aten_0.1.m1.1883.m1,aten_0.1.m1.1883,5.76E-75,1433B_RAT,blastp,NA,NA,PF00244.19;PF08389.11;PF08547.11;PF04354.12;PF17524.1;PF00067.21;PF02154.14;PF08899.10;PF14707.5,P35213,reviewed,"14-3-3 protein beta/alpha (Prepronerve growth factor RNH-1) (Protein kinase C inhibitor protein 1) (KCIP-1) [Cleaved into: 14-3-3 protein beta/alpha, N-terminally processed]",Ywhab,Rattus norvegicus (Rat),246,10116,NA,GO:0005634; GO:0005737; GO:0005829; GO:0006605; GO:0008022; GO:0017053; GO:0019904; GO:0032991; GO:0035308; GO:0042470; GO:0042802; GO:0042826; GO:0043085; GO:0044877; GO:0045744; GO:0045892; GO:0048471; GO:0050815; GO:0051220; GO:0051291,rno:56011;,56011;,ENSRNOT00000016981 [P35213-1];,KOG0841;COG5040;,K16197;,1176818at2759;,NA,NA,R-RNO-111447;R-RNO-165159;R-RNO-166208;R-RNO-2028269;R-RNO-392517;R-RNO-450385;R-RNO-450513;R-RNO-5625740;R-RNO-5628897;R-RNO-5673000;R-RNO-5674135;R-RNO-5675221;R-RNO-75035;R-RNO-9614399;,GO:0019904
aten_0.1.m1.20162.m1,aten_0.1.m1.20162,1.80E-10,LICD_HAEIN,blastp,K07271,NA,PF04991.12,P14184,reviewed,Lipopolysaccharide cholinephosphotransferase LicD (EC 2.7.8.-),licD HI_1540,Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd),265,71421,2.7.8.-,GO:0009103; GO:0016740,hin:HI1540;,950403;,NA,ENOG4105KPE;COG3475;,K07271;,NA,HINF71421:G1GJ1-1560-MONOMER;MetaCyc:MONOMER-18962;,NA,NA,
aten_0.1.m1.7325.m1,aten_0.1.m1.7325,0,MRCKA_HUMAN,blastp,K16307,NA,PF00069.24;PF07714.16;PF15796.4;PF14531.5;PF06293.13;PF00433.23;PF05911.10;PF12325.7;PF12718.6;PF12330.7;PF04582.11;PF01636.22;PF10437.8;PF14362.5;PF11796.7;PF10473.8;PF13166.5;PF16326.4;PF04111.11;PF15372.5;PF08614.10;PF04791.15;PF13851.5,Q5VT25,reviewed,Serine/threonine-protein kinase MRCK alpha (EC 2.7.11.1) (CDC42-binding protein kinase alpha) (DMPK-like alpha) (Myotonic dystrophy kinase-related CDC42-binding kinase alpha) (MRCK alpha) (Myotonic dystrophy protein kinase-like alpha),CDC42BPA KIAA0451,Homo sapiens (Human),1732,9606,2.7.11.1,GO:0000287; GO:0004674; GO:0005524; GO:0005737; GO:0005911; GO:0006468; GO:0016477; GO:0030027; GO:0031032; GO:0031252; GO:0031532; GO:0035556; GO:0042641; GO:0042802; GO:0070062,hsa:8476;,8476;,ENST00000334218 [Q5VT25-1];ENST00000366767 [Q5VT25-3];ENST00000366769 [Q5VT25-5];,KOG0612;ENOG410XR1Q;,K16307;,759391at2759;,NA,NA,NA,GO:0004672;GO:0005524;GO:0006468;GO:0004674;GO:0016477;GO:0030036
aten_0.1.m1.32840.m1,aten_0.1.m1.32840,1.07E-17,NLRC4_XENTR,blastp,NA,NA,PF05729.11;PF13191.5;PF00931.21;PF13401.5;PF00004.28;PF13481.5;PF03796.14;PF09848.8;PF13479.5;PF07693.13,F6R2G2,reviewed,NLR family CARD domain-containing protein 4 (Ice protease-activating factor) (Ipaf),nlrc4 ipaf TGas028l14.1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),997,8364,NA,GO:0002218; GO:0005524; GO:0006915; GO:0006919; GO:0006954; GO:0016045; GO:0042742; GO:0042802; GO:0042803; GO:0042981; GO:0045087; GO:0050702; GO:0051092; GO:0051260; GO:0070269; GO:0072557,NA,NA,NA,ENOG410IHIG;ENOG410YI2E;,NA,NA,NA,NA,NA,
